Rank,Team Name
1,Kansas
2,North Carolina
3,Virginia
4,Oregon
5,Michigan St
6,Oklahoma
7,Villanova
8,Xavier
9,West Virginia
10,Miami FL
11,Utah
12,Texas A&M
13,Duke
14,California
15,Kentucky
16,Iowa St
17,Indiana
18,Purdue
19,Maryland
20,Baylor
21,Texas
22,Notre Dame
23,Arizona
24,Seton Hall
25,Wisconsin
26,Dayton
27,Iowa
28,Oregon St
29,Texas Tech
30,Colorado
31,USC
32,St Joseph VT
33,Providence
34,Butler
35,Cincinnati
36,Connecticut
37,Pittsburgh
38,Temple
39,Syracuse
40,VA Commonwealth
41,Vanderbilt
42,Michigan
43,Wichita St
44,Gonzaga
45,Tulsa
46,Northern Iowa
47,Chattanooga
48,Ark Little Rock
49,Yale
50,South Dakota
51,UNC Wilmington
52,Hawaii
53,Stony Brook
54,Iona
55,WI Green Bay
56,Buffalo
57,Fresno St
58,SF Austin
59,MTSU
60,Bakersfield Col
61,UNC Asheville
62,Weber St
63,Austin Peay
64,Hampton
65,FL Gulf Coast
66,F Dickinson
67,Southern Univ
68,Holy Cross